P1,P2,P3,P4,P5,P6,P7,P8
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,188
0,0,0,0,0,0,234,166
0,0,0,0,0,1,11,200
0,0,0,0,4,1,42,235
0,0,0,0,4,1,47,240
0,0,0,0,20,1,138,91
0,0,0,0,72,2,44,50
0,0,0,0,92,2,76,102
0,0,0,0,148,1,182,7
0,0,0,0,152,1,166,251
0,0,0,0,160,1,160,253
0,0,0,0,172,1,177,26
0,0,0,0,184,1,178,39
0,0,0,0,236,2,11,181
0,0,0,0,4,2,2,196
0,0,0,0,28,0,0,216
0,0,0,0,52,0,0,240
0,0,0,0,52,0,0,240
0,0,0,0,52,0,0,240
0,0,0,0,52,1,17,2
0,0,0,0,64,1,183,180
0,0,0,0,72,1,200,205
0,0,0,0,76,1,227,236
0,0,0,0,96,2,61,91
0,0,0,0,116,2,99,149
0,0,0,0,220,3,252,151
0,0,0,0,208,5,6,151
0,0,0,0,240,4,246,166
0,0,0,0,48,4,184,168
0,0,0,0,52,4,181,169
0,0,0,0,56,4,180,172
0,0,0,0,152,4,63,151
0,0,0,0,240,4,86,6
0,0,0,0,12,4,133,81
0,0,0,0,104,5,160,201
0,0,0,0,112,5,184,233
0,0,0,0,116,5,190,243
0,0,0,0,208,6,89,235
0,0,0,0,244,6,110,36
0,0,0,0,40,6,87,65
0,0,0,0,48,6,71,57
0,0,0,0,252,4,61,249
